2019-01-24 13:53:30.041  INFO 15724 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6b4608dd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-24 13:53:32.129  INFO 15724 --- [restartedMain] c.y.e.EurekaServerApplication            : The following profiles are active: taotask2
2019-01-24 13:53:34.052  INFO 15724 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-24 13:53:34.052  INFO 15724 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-24 13:53:34.059  INFO 15724 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 6ms. Found 0 repository interfaces.
2019-01-24 13:53:34.491  INFO 15724 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3a6fceaa-efda-3943-a9e6-e5c6ca562212
2019-01-24 13:53:34.587  INFO 15724 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6b4608dd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-24 13:53:35.358  INFO 15724 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8761 (http)
2019-01-24 13:53:35.365  INFO 15724 --- [restartedMain] o.a.coyote.http11.Http11NioProtocol      : Initializing ProtocolHandler ["http-nio-8761"]
2019-01-24 13:53:35.368  INFO 15724 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-01-24 13:53:35.369  INFO 15724 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/9.0.13
2019-01-24 13:53:35.477  INFO 15724 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-01-24 13:53:35.478  INFO 15724 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3344 ms
2019-01-24 13:53:39.066  INFO 15724 --- [restartedMain] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2019-01-24 13:53:39.488  INFO 15724 --- [restartedMain] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2019-01-24 13:53:39.513  INFO 15724 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2019-01-24 13:53:39.513  INFO 15724 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2019-01-24 13:53:39.513  INFO 15724 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2019-01-24 13:53:39.514  INFO 15724 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
